SeqCluster,ClusterNumber,Domain_IDs,Pfam_result
CK_00001531,CK_Syn_KORDI-100_13530,PF00989  PF00512  PF13581,PF00512|PF02518
CK_00001534,CK_Syn_A15-127_00846,PF00924,PF00924|PF21082
CK_00001536,CK_Syn_A15-44_01019,PF00732  PF05199,PF00732|PF05199
CK_00001539,CK_Syn_MVIR-18-1_00317,PF02812  PF05221  PF00670  PF00208,PF00208|PF02812
CK_00001540,CK_Syn_KORDI-49_02250,PF03441,PF03441
CK_00001542,CK_Syn_KORDI-52_01700,PF04007,PF00534|PF13579
CK_00001543,CK_Syn_NOUM97013_00199,PF13692  PF13524  PF13428  PF03704,PF13692
CK_00001544,CK_Syn_RCC307_00405,PF04138  PF04794,PF04138|PF04794
CK_00001555,CK_Syn_RS9917_06040,PF04168,PF04168
CK_00001556,CK_Pro_MIT9301_10511,PF00005  PF13304  PF13732,PF00005
CK_00001557,CK_Syn_BIOS-U3-1_03364,PF06182,PF06182
CK_00001558,CK_Syn_A18-25c_02911,PF06182,PF06182
CK_00001563,CK_Syn_A15-44_00018,PF00482  PF00482,PF00482
CK_00001570,CK_Syn_RS9902_00436,PF03130  PF00514  PF13646  PF13646,PF13646
CK_00001573,CK_Syn_A15-127_00529,PF00582  PF00582,PF00582
CK_00001574,CK_Syn_RS9902_02621,PF01266  PF16901,PF01266|PF16901
CK_00001575,CK_Syn_WH8020_00559,PF00370  PF02782  PF02782,PF00370|PF02782
CK_00001576,CK_Syn_CC9605_00501,PF00128  PF11941,PF00128
CK_00001584,CK_Syn_PROS-7-1_00745,PF00875  PF00875  PF03441,PF00875|PF03441
CK_00001587,CK_Syn_RS9902_02326,PF06309  PF00004  PF17866,PF00004|PF17866
CK_00001590,CK_Syn_MINOS11_00666,PF13439  PF00534,PF00534|PF13439
CK_00001596,CK_Pro_MED4_00990,PF00743,PF13450
CK_00001600,CK_Syn_BL107_11906,PF01297,PF01297
CK_00001601,CK_Syn_MINOS11_01753, , 
CK_00001604,CK_Syn_CC9902_01346,PF01593,PF01593
CK_00001605,CK_Syn_MITS9220_01710, , 
CK_00001610,CK_Syn_CC9311_01401,PF00982,PF00982
CK_00001612,CK_Cya_NS01_01320,PF08486  PF08486,PF08486
CK_00001619,CK_Syn_A18-25c_01462,PF00067,PF00067
CK_00001624,CK_Syn_M16.1_01710,PF00528,PF00528
CK_00001625,CK_Syn_PROS-7-1_00985,PF01019,PF01019
CK_00001626,CK_Pro_MIT9107_01469, ,PF00583
CK_00001635,CK_Syn_WH8101_02477,PF04055  PF13186,PF04055
CK_00001641,CK_Syn_BIOS-E4-1_03598,PF07688,PF07688|PF21714
CK_00001643,CK_Syn_BIOS-E4-1_03571, , 
CK_00001645,CK_Syn_BL107_16740,PF00502  PF00427  PF00427  PF00427,PF00427|PF00502
CK_00001651,CK_Syn_RS9917_07565,PF13167  PF13167  PF16360  PF12631  PF01926,PF01926|PF13167|PF16360
CK_00001655,CK_Pro_MIT0801_01768,PF03853  PF01256  PF01256,PF01256|PF03853
CK_00001656,CK_Syn_BMK-MC-1_00147,PF00083,PF07690
CK_00001657,CK_Syn_WH8101_00973,PF03816,PF03816
CK_00001659,CK_Cya_CB0101_01781,PF05598  PF01609  PF13751  PF13751,PF01609|PF05598
CK_00001660,CK_Syn_BIOS-U3-1_50011,PF09852,PF09852
CK_00001662,CK_Syn_PROS-7-1_00335,PF01266,PF01266
CK_00001663,CK_Syn_NOUM97013_00297,PF02028,PF02028
CK_00001666,CK_Syn_RS9909_00195,PF13469,PF00685
CK_00001667,CK_Syn_A15-44_00161,PF13469,PF13469
CK_00001669,CK_Syn_CC9311_02899,PF01226,PF01226
CK_00001672,CK_Syn_BL107_06869,PF03453  PF00994  PF00994  PF03454,PF00994|PF03453|PF03454
CK_00001675,CK_Syn_BIOS-U3-1_03431,PF04879  PF00384  PF01568,PF00384|PF01568|PF04879
CK_00001676,CK_Syn_WH8016_02101,PF07690,PF07690
CK_00001678,CK_Cya_NS01_02966,PF04055  PF06463  PF06463,PF04055|PF06463
CK_00001679,CK_Syn_A15-62_02738,PF03446  PF14833  PF14833,PF03446|PF14833
CK_00001681,CK_Syn_RS9916_32502,PF13557,PF13557
CK_00001685,CK_Syn_WH8101_02755,PF07660  PF07660  PF03958  PF00263,PF00263
CK_00001687,CK_Syn_BIOS-U3-1_00021,PF00437,PF00437
CK_00001696,CK_Syn_RCC307_00309,PF03209,PF03209
CK_00001697,CK_Syn_A18-25c_02461,PF00850,PF00850
CK_00001702,CK_Syn_KORDI-52_16970,PF05378  PF01968  PF01968  PF01968  PF02538,PF01968|PF02538|PF05378
CK_00001708,CK_Pro_MIT9201_00686,PF13641,PF00535
CK_00001710,CK_Syn_A15-44_01140,PF00226  PF00226,PF00226
CK_00001716,CK_Cya_CB0205_12897,PF00355  PF00355  PF00848,PF00355|PF08417|PF19112
CK_00001720,CK_Syn_PROS-9-1_01635,PF06750  PF01478,PF01478|PF06750
CK_00001722,CK_Syn_RS9902_00993,PF10613  PF10613  PF00497  PF00060,PF00060|PF00497|PF07885
CK_00001734,CK_Syn_MVIR-18-1_02939, , 
CK_00001735,CK_Syn_RS9916_35592,PF02310  PF04055  PF13282,PF02310|PF04055|PF13282
CK_00001737,CK_Syn_RS9907_02082,PF16524  PF00672  PF00512  PF02518,PF00672|PF02518
CK_00001744,CK_Syn_CC9616_00290,PF03492,PF03492
CK_00001745,CK_Syn_WH8101_00208,PF02366, 
CK_00001747,CK_Syn_BMK-MC-1_00217,PF02350,PF00534|PF13439
CK_00001750,CK_Syn_WH8109_02715,PF13460  PF04321,PF01370
CK_00001753,CK_Syn_WH7805_10738,PF00710  PF17763,PF00710|PF17763
CK_00001760,CK_Syn_A18-40_02251,PF00427  PF01383,PF00427|PF01383
CK_00001775,CK_Syn_CC9311_01045,PF00999  PF00582  PF00582,PF00582|PF00999
CK_00001777,CK_Pro_GP2_01591,PF12850,PF12850
CK_00001780,CK_Syn_A15-28_01011,PF01494,PF01494
CK_00001781,CK_Syn_CC9902_01339,PF00195  PF02797  PF02797,PF00195|PF02797
CK_00001786,CK_Syn_PROS-U-1_01509,PF04542  PF04297,PF04542
CK_00001788,CK_Syn_PROS-U-1_01447,PF01136  PF12392  PF01136,PF01136|PF12392
CK_00001790,CK_Syn_PROS-7-1_01062,PF09150  PF02136,PF02136|PF09150
CK_00001803,CK_Pro_MIT9202_00479,PF05552  PF00924,PF00924|PF21082
CK_00001814,CK_Pro_SS2_00731,PF04402  PF04402,PF04402
CK_00001815,CK_Syn_MINOS11_00457,PF13593,PF01758
CK_00001816,CK_Syn_PROS-U-1_00020,PF00437,PF00437
CK_00001822,CK_Syn_A15-62_02765,PF13522  PF13537  PF00733,PF00733|PF13522
CK_00001825,CK_Syn_PROS-U-1_01026,PF07755,PF07755|PF17396
CK_00001828,CK_Syn_WH8020_00585,PF03552  PF07238,PF13641
CK_00001829,CK_Syn_MEDNS5_01286,PF12849,PF12849
CK_00001840,CK_Syn_TAK9802_00702,PF14561  PF14561  PF14559  PF13432,PF14559
CK_00001861,CK_Syn_MEDNS5_00373,PF13593,PF01758
CK_00001866,CK_Syn_RS9907_02336,PF00890  PF02910,PF00890|PF02910
CK_00001873,CK_Cya_NS01_00511,PF03616,PF03616
CK_00001875,CK_Syn_A18-46.1_00763,PF00487,PF00487
CK_00001879,CK_Syn_WH8101_01394,PF13555  PF13304  PF02463,PF13476
CK_00001880,CK_Pro_SS51_00015,PF00149,PF00149
CK_00001882,CK_Syn_RCC307_00846,PF13458,PF13458
CK_00001883,CK_Syn_RS9909_02140,PF01145  PF16200,PF01145
CK_00001886,CK_Pro_MIT0701_00527,PF00884  PF16385  PF02210,PF00884
CK_00001887,CK_Syn_BOUM118_00937,PF00149,PF00149
CK_00001890,CK_Cya_NS01_01958,PF00474,PF00474
CK_00001891,CK_Syn_A15-60_03040,PF02729  PF00185,PF00185|PF02729
CK_00001892,CK_Syn_WH8102_02452,PF01546  PF07687,PF01546|PF07687
CK_00001894,CK_Syn_A15-60_02544,PF02746  PF13378,PF02746|PF13378
CK_00001897,CK_Syn_SYN20_02290,PF00141  PF00141,PF00141
CK_00001900,CK_Pro_MIT9116_00578,PF02790  PF00116  PF00116,PF00116|PF02790
CK_00001903,CK_Syn_CC9616_02488,PF00535  PF13641  PF05045,PF00535|PF05045
CK_00001904,CK_Pro_SB_01012,PF07992,PF07992
CK_00001911,CK_Pro_MIT0702_00342,PF17170  PF06739  PF01436, 
CK_00001918,CK_Pro_MIT9303_15361,PF05834,PF01494
CK_00001921,CK_Syn_WH8102_01360,PF13460  PF04321,PF01370
CK_00001924,CK_Pro_MIT9202_01196,PF01925,PF01925
CK_00001934,CK_Syn_RS9916_25824,PF02705,PF13520
CK_00001941,CK_Syn_BOUM118_02084,PF02353  PF08242  PF02353,PF08241
CK_00001942,CK_Syn_KORDI-49_05560,PF07942,PF13649
CK_00001943,CK_Pro_MIT0703_02672,PF00528,PF00528
CK_00001944,CK_Syn_WH8103_02191,PF04069,PF04069
CK_00001945,CK_Syn_MEDNS5_01270, , 
CK_00001946,CK_Syn_WH7805_03462,PF00654,PF00654
CK_00001954,CK_Syn_ROS8604_00090,PF02397,PF02397
CK_00001955,CK_Syn_WH7803_02312,PF06161, 
CK_00001961,CK_Cya_CB0101_09464,PF00158  PF12801  PF12801  PF00037,PF00158|PF12801
CK_00001962,CK_Pro_AS9601_14011,PF02706  PF13807,PF02706
CK_00001963,CK_Pro_MIT9211_14831,PF13370  PF14597  PF00753,PF00753|PF13370
CK_00001964,CK_Syn_A15-62_00369,PF02311  PF07883,PF07883
CK_00001966,CK_Syn_WH8016_02082,PF13520,PF13520
CK_00001968,CK_Syn_MITS9220_02839,PF13649  PF08003,PF08241
CK_00001974,CK_Syn_WH7803_01550,PF04422  PF04432  PF04432,PF04422|PF04432
CK_00001978,CK_Syn_PROS-U-1_01319,PF02417  PF02417  PF02417,PF02417
CK_00001982,CK_Syn_PROS-U-1_00528,PF03130  PF13646  PF03130  PF03130  PF03130,PF03130|PF13646
CK_00001990,CK_Syn_SYN20_03202,PF02696,PF02696
CK_00001994,CK_Cya_CB0205_05246,PF03306,PF03306
CK_00001999,CK_Syn_PROS-7-1_01009,PF01569,PF01569
CK_00002002,CK_Syn_CC9605_01486,PF01553,PF01553
CK_00002010,CK_Syn_A18-40_01567,PF09903,PF09903
CK_00002011,CK_Syn_A15-127_01139,PF04338,PF04338
CK_00002017,CK_Syn_WH8016_00939, , 
CK_00002020,CK_Syn_A15-127_02419,PF03567,PF03567
CK_00002022,CK_Syn_A15-127_01226,PF13638  PF13638  PF02562  PF02562,PF02562|PF13638
CK_00002024,CK_Cya_WH5701_08119,PF05982,PF05982
CK_00002028,CK_Cya_CB0205_08955,PF00535  PF04138  PF04138,PF00535|PF04138
CK_00002031,CK_Syn_RCC307_00560, , 
CK_00002033,CK_Syn_PROS-7-1_02045,PF00672  PF00512  PF02518,PF00512|PF02518
CK_00002037,CK_Cya_PCC7001_00543,PF13593,PF01758
CK_00002038,CK_Syn_MVIR-18-1_02022, , 
CK_00002039,CK_Syn_A18-46.1_02700,PF00860, 
CK_00002040,CK_Syn_RS9909_01878, , 
CK_00002044,CK_Pro_MIT9313_00851,PF00149,PF00149
CK_00002059,CK_Syn_RS9917_07730,PF01791,PF01791
CK_00002071,CK_Syn_WH8109_02714,PF12204, 
CK_00002072,CK_Syn_PROS-7-1_00929,PF08240  PF00107  PF16912,PF00107|PF08240
CK_00002081,CK_Cya_CB0101_14042,PF00871,PF00871
CK_00002089,CK_Syn_CC9616_02195,PF03200,PF03200|PF22422
CK_00002090,CK_Syn_SYN20_01446,PF12437  PF00120  PF18318,PF00120|PF12437|PF18318
CK_00002092,CK_Syn_RS9909_01505,PF01544,PF01544
CK_00002100,CK_Cya_WH5701_08719,PF13518  PF13011  PF02796  PF01498  PF13358,PF13358|PF13565
CK_00002107,CK_Syn_RS9915_02714,PF13640  PF13640,PF13640
CK_00002112,CK_Syn_SYN20_02292,PF00215  PF00156,PF00156|PF00215
CK_00002115,CK_Syn_BL107_08866,PF03130  PF03130  PF13646  PF13646,PF03130
CK_00002123,CK_Syn_PROS-U-1_00545,PF00165  PF12833,PF12833
CK_00002126,CK_Syn_A15-24_01737,PF05721,PF05721
CK_00002129,CK_Syn_A15-62_01709,PF13460,PF13460
CK_00002149,CK_Syn_A15-127_00393, , 
CK_00002152,CK_Syn_CC9902_00632,PF02706, 
CK_00002153,CK_Syn_CC9616_02492,PF01061,PF01061
CK_00002156,CK_Syn_WH8102_00403,PF13444,PF13444
CK_00002158,CK_Syn_RS9907_02539,PF05159  PF04464  PF05159,PF05159
CK_00002160,CK_Syn_RS9907_02541,PF05159,PF20471
CK_00002161,CK_Syn_WH8103_00443,PF05159,PF20471
CK_00002162,CK_Syn_A15-24_00487,PF05159,PF20471
CK_00002163,CK_Syn_ROS8604_03246,PF13495  PF00589,PF00589|PF02899
CK_00002165,CK_Syn_A18-46.1_02920,PF10518  PF13379,PF13379
CK_00002166,CK_Pro_MED4_00371,PF00528,PF00528
CK_00002175,CK_Syn_SYN20_00539,PF00282,PF00282
CK_00002181,CK_Syn_WH7805_10294,PF11924, 
CK_00002189,CK_Syn_BMK-MC-1_00720,PF11845  PF00672,PF00672|PF11845
CK_00002203,CK_Syn_CC9902_01769,PF13188  PF00512  PF13581,PF00512|PF02518|PF13188
CK_00002209,CK_Syn_MVIR-18-1_01979,PF01062,PF01062
CK_00002212,CK_Cya_CB0101_04919,PF00361,PF00361
CK_00002224,CK_Syn_A15-28_01862,PF00924,PF00924
CK_00002229,CK_Syn_PROS-7-1_02650,PF00553  PF00553,PF00553
CK_00002231,CK_Syn_PROS-7-1_02078,PF04966  PF04966,PF04966
CK_00002234,CK_Syn_MEDNS5_01026,PF06027,PF00892
CK_00002236,CK_Syn_WH7805_08426,PF13524  PF13579  PF00534  PF13524, 
CK_00002244,CK_Syn_RS9915_01584,PF04250,PF04250
CK_00002247,CK_Syn_TAK9802_01579,PF00491,PF00491
CK_00002249,CK_Syn_A18-46.1_01624,PF13379,PF09084
CK_00002250,CK_Syn_KORDI-49_11560,PF00528,PF00528
CK_00002251,CK_Syn_A15-127_01187,PF00355  PF00355  PF00848  PF00848,PF00355|PF00848
CK_00002253,CK_Syn_NOUM97013_01755,PF00586  PF02769,PF00586|PF02769
CK_00002255,CK_Syn_A18-40_01543,PF04055,PF04055
CK_00002256,CK_Syn_CC9616_02058,PF00795  PF00795,PF00795
CK_00002258,CK_Syn_CC9605_01106,PF00743,PF13738
CK_00002259,CK_Syn_A15-44_50004,PF01261,PF01261
CK_00002268,CK_Pro_MIT9303_01091,PF02350,PF02350
CK_00002271,CK_Syn_TAK9802_01056,PF00561  PF08386,PF00561
CK_00002277,CK_Syn_BIOS-E4-1_03129,PF01757,PF01757
CK_00002287,CK_Syn_BL107_12046,PF00149,PF00149
CK_00002288,CK_Syn_NOUM97013_01155,PF02142  PF00781  PF00609,PF00781|PF19279
CK_00002296,CK_Syn_KORDI-52_12310, , 
CK_00002300,CK_Syn_RS9915_00990,PF03616,PF03616
CK_00002301,CK_Pro_MIT0603_00887,PF00274,PF00274
CK_00002309,CK_Syn_RCC307_02189,PF08450,PF08450
CK_00002311,CK_Syn_PROS-U-1_02607, , 
CK_00002313,CK_Syn_A15-62_02364, , 
CK_00002314,CK_Syn_A15-24_00484,PF00685,PF00685
CK_00002330,CK_Cya_PCC7001_01853,PF00395  PF04966,PF00395|PF04966
CK_00002331,CK_Pro_NATL2A_00218,PF00355  PF13806  PF08417,PF00355|PF19112
CK_00002334,CK_Cya_PCC6307_01093,PF12894  PF04053  PF00400  PF04053,PF00400|PF13360
CK_00002335,CK_Pro_UH18301_01993,PF02543  PF02543,PF02543|PF16861
CK_00002343,CK_Pro_GP2_01390,PF13432  PF13424  PF13414  PF13428  PF13432  PF13844, 
CK_00002348,CK_Syn_RS9916_28879, ,PF22541
CK_00002360,CK_Syn_RS9907_02719,PF02366  PF02366,PF13231
CK_00002364,CK_Syn_WH8016_02008,PF03480,PF03480
CK_00002374,CK_Syn_RS9916_38916,PF04151  PF00648,PF00648
CK_00002375,CK_Syn_WH7803_00260,PF00664  PF00005  PF13304,PF00005
CK_00002380,CK_Cya_CB0205_01843,PF13847,PF13649
CK_00002382,CK_Syn_RS9916_36622,PF05050,PF05050
CK_00002383,CK_Syn_RS9909_02699,PF05860  PF12951  PF12951  PF12770,PF12770|PF12951
CK_00002384,CK_Syn_A15-60_02897,PF05226  PF00211  PF00211,PF00211|PF05226
CK_00002386,CK_Cya_WH5701_05275,PF12974,PF12974
CK_00002387,CK_Cya_WH5701_05280,PF00211  PF00211  PF00069,PF00069|PF00211
CK_00002394,CK_Syn_WH8102_00355, , 
CK_00002400,CK_Syn_WH8101_00970,PF13515  PF11744,PF13515
CK_00002420,CK_Syn_RS9909_00367,PF03237,PF17289
CK_00002426,CK_Syn_BMK-MC-1_02149,PF00083,PF00083
CK_00002429,CK_Syn_A15-44_01769,PF13495  PF13495  PF00589,PF00589|PF13495
CK_00002437,CK_Syn_A15-60_02067,PF02776  PF00205  PF02775,PF00205|PF02775|PF02776
CK_00002442,CK_Syn_PROS-7-1_02907,PF01699  PF01699,PF01699
CK_00002447,CK_Syn_RS9909_02459,PF05231  PF06580  PF02518,PF06580
CK_00002461,CK_Syn_BMK-MC-1_01214,PF05019, 
CK_00002462,CK_Syn_RS9909_01784,PF01297,PF01297
CK_00002464,CK_Syn_MITS9220_01238,PF12631  PF01926  PF02421  PF07670  PF07664  PF07670,PF02421|PF07664|PF07670
CK_00002470,CK_Syn_RS9917_12485,PF02254  PF02080,PF02254
CK_00002473,CK_Cya_CB0205_12190, , 
CK_00002481,CK_Syn_WH7805_01672,PF11251,PF11251
CK_00002483,CK_Syn_MINOS11_00402,PF05116,PF05116
CK_00002485,CK_Syn_WH7803_00903, ,PF13391
CK_00002486,CK_Cya_PCC7001_00856,PF12801  PF12801  PF13746  PF04831  PF00027,PF00027|PF12801
CK_00002491,CK_Cya_CB0101_12497,PF05684,PF05684
CK_00002495,CK_Syn_CC9616_01415,PF05114,PF05114
CK_00002497,CK_Pro_MIT0703_02359,PF01061,PF01061
CK_00002503,CK_Syn_CC9616_01430,PF13458,PF13458
CK_00002505,CK_Syn_WH7805_10368,PF16952  PF00120,PF00120
CK_00002509,CK_Syn_PROS-U-1_00915,PF01593,PF01593
CK_00002512,CK_Cya_WH5701_10465,PF01699  PF01699,PF01699
CK_00002521,CK_Syn_KORDI-52_02280,PF17784, 
CK_00002524,CK_Syn_BL107_05769, , 
CK_00002529,CK_Cya_PCC6307_02264,PF04989,PF04989
CK_00002531,CK_Syn_KORDI-49_00890,PF13088,PF13088
CK_00002556,CK_Syn_BIOS-E4-1_01247,PF01293,PF07475
CK_00002557,CK_Syn_ROS8604_03260,PF00685,PF00685
CK_00002565,CK_Syn_BL107_10636,PF12204,PF12204
CK_00002566,CK_Syn_SYN20_00933, , 
CK_00002572,CK_Syn_BIOS-U3-1_00599, , 
CK_00002584,CK_Cya_PCC7001_01134,PF11992  PF01841  PF13559,PF01841|PF11992
CK_00002585,CK_Syn_WH8103_00112,PF01882,PF01882
CK_00002588,CK_Syn_MITS9220_01727, , 
CK_00002620,CK_Syn_BL107_16585, , 
CK_00002628,CK_Syn_BIOS-E4-1_01196,PF08543,PF08543
CK_00002647,CK_Pro_MIT9215_13681, , 
CK_00002651,CK_Syn_MVIR-18-1_00198,PF06039,PF01266
CK_00002654,CK_Pro_SS120_01322,PF01467  PF00294,PF00294|PF01467
CK_00002655,CK_Pro_LG_00099,PF16363,PF01370
CK_00002656,CK_Pro_SS52_00193,PF13641,PF00535
CK_00002657,CK_Pro_MED4_01221,PF13439  PF13692  PF13524,PF00534
CK_00002658,CK_Syn_PROS-7-1_00286,PF13292  PF00456,PF00456
CK_00002660,CK_Pro_SS120_01325,PF13641,PF00535
CK_00002662,CK_Syn_BOUM118_00166,PF05787,PF13449|PF22494
CK_00002664,CK_Pro_SS2_00175,PF02366,PF13231
CK_00002667,CK_Pro_MIT0702_01683,PF14226  PF14299,PF03171|PF14226
CK_00002670,CK_Syn_PROS-7-1_00415,PF13575  PF05147  PF05147,PF05147|PF13575
CK_00002688,CK_Syn_A18-25c_02354,PF00529  PF16576,PF02321
CK_00002697,CK_Pro_MIT9303_06951,PF01425,PF01425
CK_00002703,CK_Pro_MIT0701_01721,PF00596  PF13561,PF00106|PF00596
CK_00002721,CK_Pro_MIT0603_01685,PF00144,PF00144
CK_00002726,CK_Syn_RS9917_04490,PF13506  PF13506, 
CK_00002728,CK_Syn_WH8101_00274, , 
CK_00002729,CK_Syn_RS9909_00265,PF05721,PF05721
CK_00002732,CK_Syn_RS9909_00204,PF09612, 
CK_00002735,CK_Syn_RS9909_00175,PF05721,PF05721
CK_00002738,CK_Syn_RS9916_36957,PF01590  PF00685,PF00685|PF01590
CK_00002741,CK_Syn_RS9916_36582,PF04831  PF00027  PF12147  PF05891,PF00027|PF12147
CK_00002747,CK_Syn_SYN20_02293,PF00497  PF00060  PF03458  PF03458,PF00497|PF03458
CK_00002763,CK_Syn_KORDI-49_09740,PF01593,PF01593
CK_00002767,CK_Syn_KORDI-49_12640,PF01145  PF15975,PF01145
CK_00002770,CK_Syn_RS9916_31827,PF00899,PF00899
CK_00002790,CK_Syn_NOUM97013_00590,PF02743  PF00672  PF00512  PF02518,PF00512|PF02518|PF22673
CK_00002802,CK_Syn_RS9909_01152,PF10547,PF02498
CK_00002805,CK_Syn_RS9909_01087,PF12697,PF12697
CK_00002814,CK_Cya_NS01_02356,PF03982,PF01553
CK_00002823,CK_Syn_RS9917_02401,PF01925,PF01925
CK_00002826,CK_Pro_MED4_00711,PF02417  PF02417  PF02417,PF02417
CK_00002827,CK_Cya_PCC6307_01607,PF13090,PF13091
CK_00002829,CK_Syn_RCC307_02096,PF00999,PF00999
CK_00002831,CK_Syn_A15-44_02510,PF05065,PF20911
CK_00002834,CK_Syn_BMK-MC-1_02392,PF02384  PF07669  PF12950  PF11642,PF07669
CK_00002835,CK_Cya_CB0205_00022,PF00872,PF00872
CK_00002840,CK_Syn_PROS-7-1_02842,PF07176  PF07224  PF12740  PF08386,PF07176
CK_00002845,CK_Syn_WH8101_02739,PF00654,PF00654
CK_00002848,CK_Cya_PCC6307_03036,PF03092,PF07690
CK_00002851,CK_Cya_NS01_01828,PF04116,PF04116
CK_00002854,CK_Syn_MEDNS5_00957,PF00753  PF00581,PF00581|PF00753
CK_00002860,CK_Cya_PCC6307_00185,PF03649,PF03649
CK_00002881,CK_Syn_A18-46.1_00091,PF00535  PF02709,PF00535
CK_00002892,CK_Syn_WH8102_02352,PF04151  PF13583  PF03160, 
CK_00002895,CK_Syn_WH8102_00367, , 
CK_00002898,CK_Syn_WH8102_00987,PF16261  PF00583  PF13673,PF00583|PF16261
CK_00002918,CK_Syn_RS9915_01004,PF13481,PF13481
CK_00002923,CK_Syn_MINOS11_00319,PF03437,PF03437
CK_00002926,CK_Syn_RCC307_00387,PF00982,PF00534|PF13439
CK_00002930,CK_Syn_PROS-9-1_02166,PF13714,PF13714
CK_00002933,CK_Syn_BIOS-E4-1_01710,PF07732  PF07732  PF00394  PF07731,PF00394|PF07731|PF07732
CK_00002934,CK_Cya_CB0101_01237,PF01837,PF01837
CK_00002938,CK_Syn_CC9605_00456,PF03237,PF03237
CK_00002942,CK_Cya_WH5701_13003,PF01210  PF01210  PF07479,PF01210|PF07479
CK_00002945,CK_Syn_RCC307_01505,PF00182  PF02557  PF01471,PF01471|PF01510
CK_00002947,CK_Cya_NS01_00209, ,PF05050
CK_00002948,CK_Syn_WH7803_01940,PF13432  PF13371  PF12895, 
CK_00002949,CK_Pro_MIT0701_01080, , 
CK_00002959,CK_Syn_PROS-7-1_00094,PF00534  PF13524,PF13524
CK_00002966,CK_Syn_KORDI-100_01480,PF00982,PF13692
CK_00002967,CK_Syn_WH7805_08691, , 
CK_00002968,CK_Syn_BIOS-U3-1_00096,PF13439  PF00534  PF13524,PF00534|PF13439
CK_00002969,CK_Pro_MIT0702_01764,PF16993,PF00534|PF13439
CK_00002970,CK_Pro_MIT0703_02360,PF00534,PF00534
CK_00002972,CK_Syn_WH7805_08862, , 
CK_00002973,CK_Syn_PROS-7-1_00189,PF00294,PF00294
CK_00002974,CK_Syn_WH8016_01619, ,PF04932
CK_00002981,CK_Syn_CC9616_00359,PF05019, 
CK_00002995,CK_Syn_WH7805_00825,PF13229  PF13229  PF13229  PF13448,PF13448
CK_00003002,CK_Syn_WH7803_00948,PF13448  PF07732  PF00394  PF07731,PF07731
CK_00003016,CK_Syn_BIOS-E4-1_00742,PF01564,PF01564
CK_00003045,CK_Syn_WH8016_01933,PF13795,PF13795
CK_00003046,CK_Pro_MIT0701_00301,PF13616  PF13145,PF13145
CK_00003047,CK_Syn_WH8016_01935,PF12228,PF12228
CK_00003053,CK_Syn_BIOS-E4-1_01472,PF03237,PF04466
CK_00003064,CK_Syn_A15-60_02207,PF03237,PF03237
CK_00003068,CK_Syn_CC9616_02711,PF00561  PF08386,PF00561|PF08386
CK_00003069,CK_Cya_NS01_02936,PF03069,PF03069
CK_00003071,CK_Cya_PCC6307_02801,PF14742  PF14742  PF06202,PF00534|PF13439|PF14742|PF22422
CK_00003072,CK_Cya_PCC6307_02448,PF10518  PF13379,PF13379
CK_00003076,CK_Cya_PCC6307_03370,PF12760  PF09862  PF12762,PF12760|PF12762
CK_00003081,CK_Cya_PCC7001_02720,PF00924,PF00924|PF21082
CK_00003090,CK_Cya_WH5701_09740,PF18851,PF18851
CK_00003098,CK_Syn_WH7805_03972,PF01345  PF01345  PF01345  PF03504,PF00353|PF01764
CK_00003123,CK_Pro_MIT9215_14231,PF00224,PF00224
CK_00003129,CK_Syn_BL107_05989, , 
CK_00003134,CK_Syn_CC9616_00120,PF00884,PF00884
CK_00003135,CK_Syn_A15-127_00095,PF03704  PF14559  PF13428  PF17874,PF13181|PF14559
CK_00003136,CK_Cya_NS01_00190,PF13424  PF13429  PF01075,PF13181
CK_00003137,CK_Syn_BL107_06194, ,PF00353
CK_00003141,CK_Syn_A15-127_00081,PF18404,PF01501
CK_00003159,CK_Pro_MIT0601_01733,PF11104,PF11104
CK_00003160,CK_Pro_MIT9201_01064, ,PF07963
CK_00003174,CK_Syn_NOUM97013_00644,PF00884  PF16347,PF00884
CK_00003201,CK_Syn_WH8101_00799,PF13481,PF13481
CK_00003220,CK_Pro_AS9601_00521,PF13156  PF18766  PF00271  PF03457  PF03457  PF03457  PF03457  PF03457  PF03457  PF03457  PF03457,PF00271|PF03457|PF04851|PF13156
CK_00003253,CK_Syn_KORDI-49_12020,PF13091  PF00176  PF17681  PF00271  PF12137,PF00176|PF00271
CK_00003254,CK_Syn_KORDI-49_12030,PF06634  PF02086  PF01555,PF06634
CK_00003256,CK_Syn_BL107_12096,PF04465,PF04465
CK_00003258,CK_Syn_BIOS-U3-1_01915, , 
CK_00003354,CK_Pro_SB_01061, , 
CK_00003373,CK_Pro_MIT0604_00407,PF13641,PF00535
CK_00003374,CK_Pro_MIT9321_00878,PF00561,PF00561
CK_00003430,CK_Pro_NATL1A_11501,PF10282  PF08309  PF13449,PF13449
CK_00003478,CK_Pro_MIT9201_01011, ,PF00756
CK_00003494,CK_Pro_UH18301_01730,PF04755  PF04755,PF04755
CK_00003521,CK_Pro_MIT9314_01868,PF16363,PF01370
CK_00003522,CK_Pro_MIT0603_01511,PF16363,PF01370
CK_00003523,CK_Pro_MIT0602_00049,PF16363,PF16363
CK_00003524,CK_Syn_MVIR-18-1_00146,PF00483,PF00483
CK_00003525,CK_Pro_MIT9123_00880,PF13477  PF00534,PF00534
