SeqCluster,Domain_IDs,ClusterNumber,Pfam_result
CK_00002973,PF00294,CK_Syn_PROS-7-1_00189,PF00294
CK_00002974, ,CK_Syn_WH8016_01619,PF04932
CK_00002981,PF05019,CK_Syn_CC9616_00359, 
CK_00002995,PF13229  PF13229  PF13229  PF13448,CK_Syn_WH7805_00825,PF13448
CK_00003002,PF13448  PF07732  PF00394  PF07731,CK_Syn_WH7803_00948,PF07731
CK_00003016,PF01564,CK_Syn_BIOS-E4-1_00742,PF01564
CK_00003045,PF13795,CK_Syn_WH8016_01933,PF13795
CK_00003046,PF13616  PF13145,CK_Pro_MIT0701_00301,PF13145
CK_00003047,PF12228,CK_Syn_WH8016_01935,PF12228
CK_00003053,PF03237,CK_Syn_BIOS-E4-1_01472,PF04466
CK_00003064,PF03237,CK_Syn_A15-60_02207,PF03237
CK_00003068,PF00561  PF08386,CK_Syn_CC9616_02711,PF00561|PF08386
CK_00003069,PF03069,CK_Cya_NS01_02936,PF03069
CK_00003071,PF14742  PF14742  PF06202,CK_Cya_PCC6307_02801,PF00534|PF13439|PF14742|PF22422
CK_00003072,PF10518  PF13379,CK_Cya_PCC6307_02448,PF13379
CK_00003076,PF12760  PF09862  PF12762,CK_Cya_PCC6307_03370,PF12760|PF12762
CK_00003081,PF00924,CK_Cya_PCC7001_02720,PF00924|PF21082
CK_00003090,PF18851,CK_Cya_WH5701_09740,PF18851
CK_00003098,PF01345  PF01345  PF01345  PF03504,CK_Syn_WH7805_03972,PF00353|PF01764
CK_00003123,PF00224,CK_Pro_MIT9215_14231,PF00224
CK_00003129, ,CK_Syn_BL107_05989, 
CK_00003134,PF00884,CK_Syn_CC9616_00120,PF00884
CK_00003135,PF03704  PF14559  PF13428  PF17874,CK_Syn_A15-127_00095,PF13181|PF14559
CK_00003136,PF13424  PF13429  PF01075,CK_Cya_NS01_00190,PF13181
CK_00003137, ,CK_Syn_BL107_06194,PF00353
CK_00003141,PF18404,CK_Syn_A15-127_00081,PF01501
CK_00003159,PF11104,CK_Pro_MIT0601_01733,PF11104
CK_00003160, ,CK_Pro_MIT9201_01064,PF07963
CK_00003174,PF00884  PF16347,CK_Syn_NOUM97013_00644,PF00884
CK_00003201,PF13481,CK_Syn_WH8101_00799,PF13481
CK_00003220,PF13156  PF18766  PF00271  PF03457  PF03457  PF03457  PF03457  PF03457  PF03457  PF03457  PF03457,CK_Pro_AS9601_00521,PF00271|PF03457|PF04851|PF13156
CK_00003253,PF13091  PF00176  PF17681  PF00271  PF12137,CK_Syn_KORDI-49_12020,PF00176|PF00271
CK_00003254,PF06634  PF02086  PF01555,CK_Syn_KORDI-49_12030,PF06634
CK_00003256,PF04465,CK_Syn_BL107_12096,PF04465
CK_00003258, ,CK_Syn_BIOS-U3-1_01915, 
CK_00003354, ,CK_Pro_SB_01061, 
CK_00003373,PF13641,CK_Pro_MIT0604_00407,PF00535
CK_00003374,PF00561,CK_Pro_MIT9321_00878,PF00561
CK_00003430,PF10282  PF08309  PF13449,CK_Pro_NATL1A_11501,PF13449
CK_00003478, ,CK_Pro_MIT9201_01011,PF00756
CK_00003494,PF04755  PF04755,CK_Pro_UH18301_01730,PF04755
CK_00003521,PF16363,CK_Pro_MIT9314_01868,PF01370
CK_00003522,PF16363,CK_Pro_MIT0603_01511,PF01370
CK_00003523,PF16363,CK_Pro_MIT0602_00049,PF16363
CK_00003524,PF00483,CK_Syn_MVIR-18-1_00146,PF00483
CK_00003525,PF13477  PF00534,CK_Pro_MIT9123_00880,PF00534
CK_00003527,PF05693,CK_Pro_SS51_00611,PF00534
CK_00003530,PF14897,CK_Syn_A15-127_02341,PF14897
CK_00003538,PF01636  PF01633,CK_Syn_KORDI-100_01100,PF01633
CK_00003540,PF13489,CK_Pro_MED4_01241,PF08241
CK_00003550,PF00535,CK_Pro_MIT9107_00462,PF00535
CK_00003563,PF03441,CK_Pro_MIT9401_00315,PF03441
CK_00003571,PF01073,CK_Pro_MED4_01377,PF01370
CK_00003613,PF01068  PF17879,CK_Pro_MIT9215_19531,PF01068|PF14743
CK_00003618,PF05045  PF00534  PF13524  PF13641,CK_Syn_CC9605_02036,PF00535|PF05045|PF22772
CK_00003620,PF01757,CK_Pro_MIT9313_00089,PF01757
CK_00003622,PF01973,CK_Syn_A18-25c_00103,PF01973|PF20157
CK_00003624,PF00248,CK_Pro_MIT0604_01496,PF00248
CK_00003628,PF04101  PF04101,CK_Syn_MITS9220_00204,PF13302
CK_00003630,PF05711  PF13578,CK_Syn_WH8109_00105,PF13578
CK_00003631,PF01061,CK_Syn_NOUM97013_00096,PF01061
CK_00003634,PF13641  PF02709,CK_Syn_BIOS-U3-1_00115,PF00535
CK_00003649,PF11335,CK_Pro_MIT0703_01592,PF11335
CK_00003658,PF13195  PF13604  PF13086  PF13087  PF18741,CK_Pro_MIT9313_00302,PF13086|PF13087|PF13195|PF18741
CK_00003687,PF01855  PF17147  PF01558  PF13484  PF12838  PF13484  PF13237  PF02775,CK_Pro_MIT0703_02649,PF01558|PF01855|PF02775|PF17147
CK_00003688,PF00999,CK_Pro_MIT9303_17191,PF00999
CK_00003700,PF05088,CK_Pro_MIT9313_00623,PF00208|PF02812
CK_00003701,PF06027  PF00892,CK_Pro_MIT0702_02779,PF00892
CK_00003719,PF01066,CK_Pro_MIT0702_02081,PF01066
CK_00003730,PF00375  PF00497  PF00497,CK_Pro_MIT9313_00909,PF00375|PF00497
CK_00003740,PF01925,CK_Syn_RS9916_35087,PF01925
CK_00003750,PF08857,CK_Pro_MIT9303_11851,PF08857
CK_00003795,PF13833  PF13499,CK_Pro_MIT0703_02409,PF13753
CK_00003801,PF04672,CK_Pro_MIT0701_02045,PF04072
CK_00003824,PF06609,CK_Pro_MIT9303_04611,PF07690
CK_00003842,PF00529  PF16576,CK_Pro_GP2_00776,PF16576
CK_00003868, ,CK_Syn_A15-62_00184, 
CK_00003877,PF01040,CK_Cya_CB0101_14544,PF01040
CK_00003878,PF12710  PF03706,CK_Pro_MIT9313_02032,PF03706|PF12710
CK_00003879,PF03706,CK_Syn_TAK9802_00581,PF03706|PF12710
CK_00003881,PF01565  PF04030,CK_Pro_MIT9314_01816,PF01565|PF04030
CK_00003888,PF08548  PF00353  PF08548,CK_Pro_MIT9303_27271,PF00353|PF08548
CK_00003902,PF04773,CK_Pro_MIT9313_02147,PF04773
CK_00003911,PF03706,CK_Pro_SS120_00061,PF03706
CK_00003934, ,CK_Pro_MIT9211_14311, 
CK_00003964,PF00078  PF00078,CK_Pro_SS2_00493,PF00078
CK_00003965,PF04434,CK_Pro_MIT9311_00308,PF04434
CK_00003966, ,CK_Pro_SS35_01997, 
CK_00004010,PF05368,CK_Syn_KORDI-49_22130,PF01370
CK_00004123,PF13691  PF12706,CK_Pro_NATL1A_08671,PF00355|PF13483
CK_00004126,PF08757  PF05048,CK_Pro_LG_00606,PF08757
CK_00004130,PF18766  PF10593,CK_Pro_MIT9311_00756,PF04851|PF10593
CK_00004133,PF13383,CK_Pro_SS35_00084,PF05050
CK_00004137,PF01073  PF16363,CK_Pro_LG_02006,PF01370
CK_00004141,PF13450  PF13450  PF03275,CK_Syn_A15-24_00106,PF03275|PF13450
CK_00004142, ,CK_Pro_SS120_01287, 
CK_00004144, ,CK_Pro_LG_02014, 
CK_00004151,PF04724,CK_Pro_SS2_00344,PF04724
CK_00004207,PF11185,CK_Syn_A15-44_01763,PF11185
CK_00004208,PF05231  PF07730  PF02518,CK_Pro_SS35_00781,PF02518
CK_00004229,PF01070,CK_Pro_MIT0603_01905,PF01070
CK_00004230,PF01565  PF09330,CK_Pro_LG_01667,PF01565|PF09330
CK_00004282, ,CK_Pro_MIT9123_00876,PF01663
CK_00004289, ,CK_Syn_PROS-7-1_00269, 
CK_00004302, ,CK_Syn_WH8101_00051, 
CK_00004322,PF14312  PF14312  PF14312  PF14312  PF14312  PF14312  PF14312  PF13448,CK_Syn_RS9916_36792, 
CK_00004352,PF09925  PF10101,CK_Syn_RS9916_36052,PF09925
CK_00004391,PF09587,CK_Syn_RS9916_34487,PF09587
CK_00004442, ,CK_Cya_NS01_02285, 
CK_00004454,PF07690,CK_Syn_PROS-9-1_00795,PF07690
CK_00004480,PF13495  PF00589,CK_Syn_BIOS-E4-1_01994, 
CK_00004513,PF02016,CK_Syn_RS9916_31832,PF02016|PF17676
CK_00004563,PF00805  PF13576  PF00805  PF13599  PF13599  PF13599,CK_Syn_A15-60_02236,PF00805|PF13599
CK_00004599,PF01494,CK_Syn_CC9311_01608,PF01494
CK_00004728,PF04228,CK_Syn_MEDNS5_01812,PF04228
CK_00004731, ,CK_Syn_MEDNS5_01810, 
CK_00004733,PF13809,CK_Syn_RS9916_26299,PF13809
CK_00004734, ,CK_Syn_RS9916_26294, 
CK_00004739,PF03142,CK_Syn_RS9916_26269,PF13641
CK_00004744, ,CK_Cya_PCC6307_01721, 
CK_00004793,PF00905,CK_Syn_RS9909_01076,PF00905
CK_00004798,PF09369,CK_Syn_RS9909_01070,PF09369
CK_00004799,PF16203,CK_Syn_RS9907_01396,PF00271
CK_00004802,PF02384,CK_Syn_RS9909_01066,PF07669|PF20466
CK_00004803,PF00176  PF16203,CK_Cya_PCC6307_01265,PF00176|PF00271
CK_00004806,PF07992  PF02852,CK_Syn_PROS-7-1_01244,PF02852|PF07992
CK_00004812,PF13635,CK_Syn_RS9917_00942,PF13173|PF13635
CK_00004818,PF00672  PF00512  PF14501,CK_Syn_RS9917_01382,PF00512|PF02518
CK_00004819,PF13458,CK_Syn_RS9909_00897,PF13458
CK_00004820,PF07244  PF03865  PF01103,CK_Syn_RS9909_00896,PF03865|PF08479
CK_00004822,PF04278,CK_Syn_RS9917_01412, 
CK_00004824,PF08448  PF13188  PF00512  PF13581,CK_Syn_RS9909_00890,PF00512|PF02518|PF08447|PF13188
CK_00004825,PF14525,CK_Syn_RS9917_01616,PF12833|PF14525
CK_00004828,PF13657  PF07804,CK_Syn_A15-44_02495,PF07804|PF13657
CK_00004847,PF00122  PF00702,CK_Syn_RS9909_00736,PF00122
CK_00004848,PF03466,CK_Syn_NOUM97013_00589,PF03466
CK_00004855, ,CK_Syn_NOUM97013_01952,PF01735
CK_00004863,PF04632,CK_Syn_WH8101_00439,PF13515
CK_00004865,PF00529  PF16576,CK_Syn_WH8101_02502,PF13533
CK_00004866,PF02321  PF02321,CK_Syn_NOUM97013_00997,PF02321
CK_00004870, ,CK_Syn_RS9917_03943, 
CK_00004879, ,CK_Syn_RS9909_00350, 
CK_00004881,PF01391  PF01391  PF01391  PF07603,CK_Syn_RS9917_04048,PF01391
CK_00004883, ,CK_Syn_RS9909_00345, 
CK_00004884, ,CK_Syn_RS9909_00344, 
CK_00004888,PF13337  PF16565  PF16565,CK_Syn_A15-44_02497,PF13337|PF16565|PF20442
CK_00004889,PF08665,CK_Syn_RS9917_04113, 
CK_00004891,PF04465,CK_Cya_NS01_01596,PF19557
CK_00004893,PF08849,CK_Syn_RS9909_00330, 
CK_00004894,PF04471  PF04471,CK_Syn_RS9917_04148,PF04471
CK_00004896,PF02498,CK_Syn_RS9917_04158,PF02498
CK_00004902, ,CK_Syn_RS9909_00321, 
CK_00004903,PF08843,CK_Syn_RS9917_04250,PF08843
CK_00004907, ,CK_Syn_RS9917_04335, 
CK_00004915,PF08323  PF13692  PF13524,CK_Pro_MIT0702_00546, 
CK_00004916, ,CK_Syn_RS9917_04620, 
CK_00004923,PF00535  PF13704  PF02709,CK_Syn_PROS-9-1_00244,PF00535
CK_00004926,PF11103  PF11103  PF14261,CK_Syn_RS9917_04735,PF11103|PF14261
CK_00004937,PF00126  PF03466,CK_Syn_RS9909_00118,PF00126|PF03466
CK_00004938,PF00743,CK_Syn_RS9917_05230,PF00743
CK_00004956,PF13448,CK_Syn_RS9909_02768, 
CK_00004973,PF13444  PF13673  PF04831  PF00027,CK_Syn_A18-46.1_00969,PF00027|PF13444
CK_00004974,PF08498  PF02353,CK_Cya_CB0101_03195,PF13649
CK_00004978, ,CK_Cya_CB0101_03050, 
CK_00004981,PF13469,CK_Syn_RS9909_02465,PF13424|PF13469|PF14559
CK_00005013,PF01168,CK_Cya_PCC7001_00557,PF01168
CK_00005014,PF00128  PF16657  PF00686,CK_Syn_A18-25c_02952,PF00128|PF00686
CK_00005017,PF00561,CK_Cya_CB0101_09534,PF00561
CK_00005047,PF13310,CK_Cya_NS01_01162,PF13310
CK_00005070,PF08378  PF09848,CK_Cya_PCC7001_02614,PF09848
CK_00005078,PF00924,CK_Pro_MIT9313_00854,PF00924|PF21082
CK_00005084,PF13515  PF10334,CK_Cya_CB0101_00837,PF13515
CK_00005085,PF04632,CK_Syn_RS9917_12170, 
CK_00005097,PF04055  PF06969,CK_Cya_CB0101_09514,PF04055
CK_00005119,PF00355  PF00355  PF00848,CK_Syn_RS9917_13340,PF00355|PF00848
CK_00005137,PF12860  PF00990  PF00990  PF00563,CK_Cya_PCC6307_02439,PF00563|PF00990
CK_00005170,PF08548  PF13946  PF08548  PF00353,CK_Syn_A18-46.1_00088,PF00353
CK_00005171,PF01697,CK_Syn_A15-24_00154,PF13704
CK_00005172,PF03567,CK_Syn_WH8103_00104,PF03567
CK_00005173, ,CK_Syn_A18-46.1_00108, 
CK_00005177,PF02485,CK_Syn_RS9907_02215,PF02485
CK_00005181,PF16655  PF16655  PF09423  PF08548  PF00353  PF00353,CK_Syn_WH8103_00217,PF00353|PF09423|PF16655
CK_00005183,PF01075,CK_Syn_A15-24_00378, 
CK_00005186,PF13469,CK_Syn_RS9907_02840,PF13469
CK_00005187,PF10544,CK_Syn_WH8102_00354,PF13455
CK_00005208,PF05045,CK_Syn_WH8103_00461,PF05045
CK_00005209, ,CK_Syn_WH8103_00463,PF13646
CK_00005211,PF16822,CK_Syn_WH8102_00417,PF16822
CK_00005212, ,CK_Syn_A15-127_02395, 
CK_00005213,PF00682  PF01973,CK_Pro_MIT0601_01234,PF00682
CK_00005223,PF01522,CK_Syn_WH8102_00438,PF01522
CK_00005227,PF03031,CK_Syn_A15-127_02367,PF00550|PF00583
CK_00005244, ,CK_Syn_WH8103_00595, 
CK_00005245,PF01697,CK_Syn_BOUM118_00533,PF13704
CK_00005254, ,CK_Syn_A15-127_02121, 
CK_00005255,PF13469,CK_Syn_A15-24_00684, 
CK_00005262,PF00160,CK_Syn_A18-46.1_00830,PF00160
CK_00005263,PF05787  PF13449,CK_Syn_WH8103_00869,PF13449
CK_00005268,PF00657,CK_Cya_NS01_02844,PF00657
CK_00005277,PF14252  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF13753  PF17892  PF17892  PF17892  PF13753  PF13753  PF17892  PF13753  PF13753  PF17892  PF17892  PF17892  PF17892  PF17892  PF17892  PF17892  PF17963  PF17892  PF17963  PF17892  PF17963  PF17892  PF17803  PF17892  PF17892  PF17963  PF17892  PF17892,CK_Syn_A18-40_01014,PF13753|PF14252|PF17892
CK_00005281,PF01618,CK_Syn_A18-40_01019,PF01618
CK_00005294,PF05065,CK_Cya_PCC7001_00576,PF05065
CK_00005345,PF10503,CK_Syn_KORDI-49_08230,PF10503
CK_00005359, ,CK_Pro_MIT9123_01198,PF01435
CK_00005361,PF13464,CK_Syn_BOUM118_01841, 
CK_00005404,PF11300,CK_Syn_WH8103_02575, 
CK_00005422,PF12697,CK_Syn_RS9915_02865,PF12697
CK_00005438,PF03071,CK_Pro_UH18301_01393,PF08241
CK_00005442,PF04311,CK_Syn_MINOS11_00159, 
CK_00005443,PF13641  PF13844,CK_Cya_PCC6307_01139,PF00535|PF13692
CK_00005444,PF13692  PF13524,CK_Syn_RCC307_00166,PF00534
CK_00005445, ,CK_Syn_RCC307_00171,PF04932
CK_00005446,PF00535  PF13632  PF13439  PF00534,CK_Cya_PCC6307_01206,PF00534
CK_00005448,PF16994  PF00534,CK_Cya_CB0205_03328,PF00534
CK_00005449,PF13579  PF13692  PF13524,CK_Pro_MIT9202_01012, 
CK_00005450,PF00535,CK_Syn_RCC307_00178,PF00535
CK_00005451,PF00982,CK_Syn_RCC307_00179,PF00534|PF13579
CK_00005453,PF10111,CK_Syn_RCC307_00182,PF00535
CK_00005454,PF16993,CK_Syn_BMK-MC-1_00305,PF00534
CK_00005455,PF12996  PF13524,CK_Cya_CB0205_03378,PF12996|PF13524
CK_00005457,PF08392  PF08541,CK_Syn_RCC307_00194,PF08541|PF08545
CK_00005545, ,CK_Syn_MINOS11_02063, 
CK_00005558,PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658  PF05658,CK_Syn_MINOS11_01833,PF03895|PF05658
CK_00005565, ,CK_Syn_NOUM97013_02274,PF03567
CK_00005566,PF05212,CK_Syn_KORDI-49_20920, 
CK_00005582, ,CK_Syn_MINOS11_00845, 
CK_00005584,PF01266,CK_Syn_RCC307_00803,PF01266
CK_00005600,PF16576  PF00529,CK_Syn_WH8016_01157,PF00529|PF16576
CK_00005601,PF07690,CK_Syn_WH8016_01156,PF07690
CK_00005619,PF12850,CK_Syn_MINOS11_01028,PF00149
CK_00005682,PF03435  PF16653,CK_Syn_RCC307_01135,PF03435
CK_00005722,PF13495  PF00589,CK_Syn_MINOS11_01564, 
CK_00005735,PF07690,CK_Syn_RCC307_01510,PF07690
CK_00005761, ,CK_Syn_MINOS11_01754, 
CK_00005781, ,CK_Pro_MIT0701_01760, 
CK_00005829, ,CK_Syn_BIOS-U3-1_02208, 
CK_00005836, ,CK_Syn_MINOS11_02109, 
CK_00005869,PF03773  PF04945  PF04945,CK_Syn_MEDNS5_00372,PF03773|PF04945
CK_00005885,PF04311,CK_Syn_RCC307_02367, 
CK_00005911,PF03567  PF03567,CK_Syn_MINOS11_02696, 
CK_00005916,PF01593,CK_Pro_MIT9303_11801,PF01593|PF13450
CK_00005932,PF03016,CK_Syn_WH7803_00118,PF03016
CK_00005935,PF01075,CK_Syn_A15-24_00149,PF01075
CK_00005939,PF00083,CK_Syn_MEDNS5_01762,PF00083
CK_00005940, ,CK_Syn_PROS-7-1_00186, 
CK_00005942, ,CK_Syn_A18-25c_00182,PF07483
CK_00005950,PF03600  PF02040,CK_Syn_BMK-MC-1_00657,PF03600
CK_00005962,PF02771  PF02770  PF08028,CK_Syn_WH7803_00851, 
CK_00005963,PF06863  PF06742  PF13448,CK_Syn_WH7803_00870,PF06742|PF06863
CK_00005967,PF13448,CK_Syn_WH8101_00780,PF13448
CK_00005985,PF13643,CK_Syn_WH7803_00945,PF13643
CK_00005997,PF01794  PF00355  PF13806,CK_Syn_MEDNS5_01101,PF00355|PF01794
CK_00005998, ,CK_Syn_ROS8604_00153, 
CK_00005999,PF06027,CK_Syn_BMK-MC-1_01330,PF00892
CK_00006000,PF08443  PF02955  PF00583,CK_Syn_MEDNS5_01105,PF00583|PF02955
CK_00006005, ,CK_Syn_A18-25c_01645, 
CK_00006009, ,CK_Syn_PROS-7-1_01508, 
CK_00006010,PF16156,CK_Pro_MIT9303_19701, 
CK_00006036,PF16655  PF09423,CK_Syn_WH7803_01802,PF09423|PF16655
CK_00006039, ,CK_Syn_WH7803_01915, 
CK_00006063,PF10609,CK_Syn_WH7803_02267,PF10609
CK_00006064,PF00512  PF00072,CK_Syn_NOUM97013_02649,PF00072
CK_00006065,PF17201  PF00512  PF02518  PF00072  PF00072,CK_Syn_A15-60_02750,PF00072|PF00512|PF02518|PF17201
CK_00006070,PF04632,CK_Syn_WH8101_02722,PF13515
CK_00006071, ,CK_Syn_BMK-MC-1_02906, 
CK_00006075,PF08449,CK_Syn_WH7803_02409,PF00892
CK_00006081,PF11968,CK_Syn_BIOS-U3-1_00134,PF13489
CK_00006085,PF01576  PF00038,CK_Syn_RS9902_00664, 
CK_00006104,PF00483  PF01633  PF08645,CK_Syn_PROS-7-1_00098,PF00483
CK_00006135,PF07676  PF10647  PF07676  PF10647  PF00326,CK_Syn_CC9605_00650,PF00326|PF07676
CK_00006138,PF02535  PF02535,CK_Syn_KORDI-100_28780,PF02535
CK_00006139,PF13833  PF13499  PF04777,CK_Syn_A15-28_01861,PF04777
CK_00006145,PF07221  PF01740,CK_Syn_KORDI-100_06440,PF07221
CK_00006147,PF00686,CK_Syn_A15-28_02157, 
CK_00006148,PF17124  PF01965,CK_Syn_CC9605_00819,PF17124
CK_00006156,PF00753,CK_Syn_A15-62_00868,PF00753
CK_00006157,PF00561  PF08386,CK_Syn_BIOS-U3-1_01676,PF00561
CK_00006203,PF12974,CK_Syn_A15-44_01187,PF12974
CK_00006214,PF02679,CK_Syn_A15-24_01115,PF02679
CK_00006215,PF00060  PF00497,CK_Syn_A15-62_01203,PF00497
CK_00006216,PF00375,CK_Syn_CC9616_01564,PF00375
CK_00006242,PF13481  PF00772  PF12802,CK_Syn_CC9605_01417,PF13481
CK_00006290,PF00589,CK_Syn_CC9605_01668,PF00589
CK_00006325,PF01697,CK_Cya_CB0205_03283,PF13704
CK_00006361,PF00999,CK_Syn_A15-28_00685,PF00999
CK_00006364,PF06736,CK_Syn_A15-62_02223,PF06736
CK_00006369,PF10009,CK_Syn_A18-25c_00372,PF10009
CK_00006382, ,CK_Syn_PROS-U-1_02130, 
CK_00006391,PF03783,CK_Pro_NATL1A_15801, 
CK_00006394, ,CK_Syn_BIOS-E4-1_04097, 
CK_00006398, ,CK_Syn_CC9605_02480, 
CK_00006399,PF08885,CK_Syn_A15-62_02648,PF08885
CK_00006401, ,CK_Syn_WH8016_01965, 
CK_00006408,PF06325  PF05148,CK_Syn_CC9605_02504,PF08241
CK_00006409,PF02784  PF00278,CK_Syn_CC9605_02505,PF00278|PF02784
CK_00006411,PF04831  PF00027  PF02142,CK_Syn_BIOS-U3-1_03308,PF00027|PF02142
CK_00006421,PF07483  PF07483  PF07483  PF07483  PF07483  PF04151  PF04151  PF00082,CK_Syn_CC9605_02600,PF00082
CK_00006424,PF00795,CK_Syn_A15-127_02804,PF00795
CK_00006434,PF05050  PF13383,CK_Syn_PROS-U-1_00113,PF05050
CK_00006442,PF01408  PF02894  PF02894,CK_Pro_MIT9202_00282,PF01408|PF02894
CK_00006453,PF13439  PF05693  PF05693,CK_Syn_A15-62_00142,PF00534
CK_00006468, ,CK_Syn_PROS-U-1_02606, 
CK_00006470, ,CK_Pro_MIT0801_01729, 
CK_00006480,PF00672  PF00512  PF02518,CK_Syn_A15-28_00849,PF00672|PF02518
CK_00006490,PF13469,CK_Syn_PROS-U-1_01929,PF13469
CK_00006510,PF13469,CK_Syn_RS9902_02346,PF13469
CK_00006520,PF13424  PF14559  PF09976,CK_Syn_ROS8604_00691,PF08795
CK_00006523,PF03781,CK_Pro_MIT0702_01640, 
CK_00006528,PF14252,CK_Syn_CC9616_02559, 
CK_00006536,PF00227,CK_Cya_NS01_00367, 
CK_00006566,PF00248,CK_Cya_WH5701_01845,PF00248
CK_00006571, ,CK_Cya_PCC6307_00950,PF20376
CK_00006574,PF05982,CK_Cya_NS01_01120,PF05982
CK_00006575,PF00724,CK_Cya_WH5701_01970,PF00724
CK_00006592,PF00884  PF14707,CK_Cya_WH5701_02214,PF00884
CK_00006594,PF12710,CK_Cya_PCC7001_00356,PF12710
CK_00006595,PF14525  PF12833,CK_Cya_PCC7001_00842,PF12833
CK_00006597,PF00884  PF14707  PF14707,CK_Cya_PCC7001_01691,PF00884|PF14707
CK_00006606,PF00487,CK_Cya_PCC6307_01003,PF00487
CK_00006607,PF00561,CK_Cya_PCC6307_01004,PF00561
CK_00006609,PF13409  PF02798  PF00043,CK_Syn_KORDI-52_11580, 
CK_00006615,PF01764,CK_Cya_PCC7001_02751,PF01764
CK_00006624,PF04784,CK_Cya_NS01_01108,PF04784
CK_00006625,PF06728,CK_Cya_PCC6307_02510, 
CK_00006626,PF00535,CK_Cya_WH5701_02539,PF00535
CK_00006648, ,CK_Pro_NATL1A_16251,PF18922
CK_00006654,PF00685  PF00535  PF02709,CK_Syn_A15-60_00143,PF00535
CK_00006658,PF00982,CK_Cya_WH5701_03284,PF00534|PF13439
CK_00006666,PF09899  PF09899  PF09899,CK_Cya_WH5701_03609,PF09899
CK_00006667,PF08240  PF16912,CK_Cya_NS01_00357,PF08240|PF13602
CK_00006678,PF01544,CK_Cya_WH5701_04060,PF01544
CK_00006688,PF01420  PF01420,CK_Syn_RS9907_00815,PF01420
CK_00006712,PF07995,CK_Cya_WH5701_04385,PF07995
CK_00006715,PF05013,CK_Cya_WH5701_04425,PF05013
CK_00006728,PF00924,CK_Cya_PCC7001_00671,PF00924
CK_00006730,PF00884  PF14707,CK_Pro_MIT0702_00292,PF00884|PF14707
CK_00006732,PF12710,CK_Cya_WH5701_04630,PF12710
CK_00006742,PF13520,CK_Cya_NS01_00223,PF13520
CK_00006743,PF00384  PF01568,CK_Cya_PCC6307_02572,PF00384|PF01568
CK_00006747,PF03476  PF03473,CK_Cya_PCC6307_02471,PF03473|PF03476
CK_00006750,PF04773,CK_Syn_RS9902_02824,PF04773
CK_00006754,PF14525  PF12833,CK_Cya_PCC6307_01280,PF12833
CK_00006766,PF12852  PF00165  PF12833,CK_Cya_PCC7001_01082,PF12833|PF12852
CK_00006767,PF05368,CK_Cya_WH5701_05300,PF13460
CK_00006771,PF02353,CK_Cya_PCC7001_00569,PF02353
CK_00006800,PF00586  PF02769,CK_Cya_PCC6307_03416,PF00586|PF02769
CK_00006801,PF01924,CK_Cya_NS01_02422,PF01924
CK_00006802,PF01180  PF01180,CK_Cya_WH5701_06456,PF01180
CK_00006803,PF01855  PF17147  PF01558  PF10371  PF14697  PF13484  PF13237  PF02775,CK_Cya_PCC6307_03413,PF01558|PF01855|PF02775|PF10371|PF12838|PF17147
CK_00006805,PF00708  PF07503  PF07503  PF01300  PF17788  PF02543,CK_Syn_WH8101_02174,PF00708|PF01300|PF07503|PF17788|PF22521
CK_00006808,PF00374,CK_Cya_NS01_02390,PF00374
CK_00006811,PF01257  PF01512  PF10531  PF10589  PF10589,CK_Cya_NS01_02387,PF01512|PF10589
CK_00006815,PF13635,CK_Cya_WH5701_06631,PF13173|PF13635
CK_00006843,PF16755  PF12894,CK_Cya_WH5701_07031, 
CK_00006847,PF05016  PF13245  PF13361  PF13538,CK_Cya_WH5701_07071,PF00580|PF13361
CK_00006850,PF13477  PF00534,CK_Syn_BL107_09691,PF00534
CK_00006867,PF09378  PF00006,CK_Cya_WH5701_07476,PF00006|PF02874|PF22919
